,capability,color,decorative,family,file,fontformat,fontversion,foundry,fullname,index,langs,outline,postscriptname,scalable,scripts,slant,style,symbol,variable,weight,width,antialias,pixelsize,spacing,size
20,otlayout:cans otlayout:cher otlayout:latn otlayout:runr,False,False,"[('en', 'Aboriginal Serif')]",LANG/AboriginalSerifREGULAR.ttf,TrueType,629538,LANG,"[('en', 'Aboriginal Serif')]",0,an sco en ty gl hz tr smn kj hr mt is gn kab st vi bin no ln wa se af kwm nr cy hsb co sk vo om mh sma pap-an bm xh li vot nb chr sw az-az mi tw ve et gd kr fil fr lv nv crh shs gv ch qu ro wo oc jv lt fi to zu nds rm ss ms sl pl ha rn csb so tn fur quz tk bs sms sm sc ga rw la es cs mg nso eo ca ig da io smj pt uz ff it sn ny fo ho eu ee ku-tr ia ie sg fj ast lg tl hu ts yap yo kl ki fy wen pap-aw ng nn nl su id haw aa br ak ay sv sq bi kw de za na lb fat ber-dz ht iu,True,AboriginalSerif,True,canadian_aboriginal cherokee common cyrillic greek inherited latin ogham runic unknown,0,"[('en', 'Regular')]",False,False,80.0,100.0,,,,
21,otlayout:cans otlayout:cher otlayout:latn,False,False,"[('en', 'Aboriginal Serif')]",LANG/AboriginalSerifBOLD943.ttf,TrueType,618004,LANG,"[('en', 'Aboriginal Serif Bold')]",0,an sco en ty gl hz tr smn kj hr mt is gn kab st vi bin no ln wa se af kwm nr cy hsb co sk vo om mh sma pap-an bm xh li vot nb chr sw az-az mi tw ve et gd kr fil fr lv nv crh shs gv ch qu ro wo oc jv lt fi to zu nds rm ss ms sl pl ha rn csb so tn fur quz tk bs sms sm sc ga rw la es cs mg nso eo ca ig da io smj pt uz ff it sn ny fo ho eu ee ku-tr ia ie sg fj ast lg tl hu ts yap yo kl ki fy wen pap-aw ng nn nl su id haw aa br ak ay sv sq bi kw de za na lb fat ber-dz ht iu,True,AboriginalSerif-Bold,True,canadian_aboriginal cherokee common cyrillic greek inherited latin ogham runic unknown,0,"[('en', 'Bold')]",False,False,200.0,100.0,,,,
22,otlayout:cans otlayout:cher otlayout:latn,False,False,"[('en', 'Aboriginal Serif')]",LANG/AboriginalSerifBOLDITALIC943.ttf,TrueType,618004,LANG,"[('en', 'Aboriginal Serif Bold Italic')]",0,an sco en ty gl hz tr smn kj hr mt is gn kab st vi bin no ln wa se af kwm nr cy hsb co sk vo om mh sma pap-an bm xh li vot nb chr sw az-az mi tw ve et gd kr fil fr lv nv crh shs gv ch qu ro wo oc jv lt fi to zu nds rm ss ms sl pl ha rn csb so tn fur quz tk bs sms sm sc ga rw la es cs mg nso eo ca ig da io smj pt uz ff it sn ny fo ho eu ee ku-tr ia ie sg fj ast lg tl hu ts yap yo kl ki fy wen pap-aw ng nn nl su id haw aa br ak ay sv sq bi kw de za na lb fat ber-dz ht iu,True,AboriginalSerif-BoldItalic,True,canadian_aboriginal cherokee common greek han inherited latin ogham runic unknown,100,"[('en', 'Bold Italic')]",False,False,200.0,100.0,,,,
23,otlayout:cans otlayout:cher otlayout:latn,False,False,"[('en', 'Aboriginal Serif')]",LANG/AboriginalSerifITALIC943.ttf,TrueType,618004,LANG,"[('en', 'Aboriginal Serif Italic')]",0,an sco en ty gl hz tr smn kj hr mt is gn kab st vi bin no ln wa se af kwm nr cy hsb co sk vo om mh sma pap-an bm xh li vot nb chr sw az-az mi tw ve et gd kr fil fr lv nv crh shs gv ch qu ro wo oc jv lt fi to zu nds rm ss ms sl pl ha rn csb so tn fur quz tk bs sms sm sc ga rw la es cs mg nso eo ca ig da io smj pt uz ff it sn ny fo ho eu ee ku-tr ia ie sg fj ast lg tl hu ts yap yo kl ki fy wen pap-aw ng nn nl su id haw aa br ak ay sv sq bi kw de za na lb fat ber-dz ht iu,True,AboriginalSerif-Italic,True,canadian_aboriginal cherokee common greek han inherited latin ogham runic unknown,100,"[('en', 'Italic')]",False,False,80.0,100.0,,,,
24,,False,False,"[('en', 'Abydos')]",FREE/AbydosR_hint.ttf,TrueType,80609,Free,"[('en', 'Abydos')]",0,sw rw kj ng io uz st sn ho ia kwm nr zu om ss ms za rn xh so ts fj,True,Abydos,True,common egyptian_hieroglyphs inherited latin unknown,0,"[('en', 'Regular')]",False,False,80.0,100.0,,,,
25,,False,False,"[('en', 'Abydos')]",FREE/AbydosB_hint.ttf,TrueType,80609,Free,"[('en', 'Abydos Bold')]",0,sw rw kj ng io uz st sn ho ia kwm nr zu om ss ms za rn xh so ts fj,True,AbydosBold,True,common egyptian_hieroglyphs inherited latin unknown,0,"[('en', 'Bold')]",False,False,200.0,100.0,,,,
26,ttable:Silf  otlayout:DFLT otlayout:ethi,False,False,"[('en', 'Abyssinica SIL')]",SIL/AbyssinicaSIL-Regular.ttf,TrueType,131072,SIL ,"[('en', 'Abyssinica SIL')]",0,an en gl kj is st no tig wa kwm nr byn co vo am om sma pap-an xh li vot nb sw et gd fil fr gv ch oc jv fi zu nds rm ss ms rn so tn fur gez sc sid rw es mg nso da io smj pt uz it sn fo ho eu ia ie sg fj tl yap fy pap-aw ng nn nl su id aa br ti-et ti-er ay sv sq bi wal de za lb ts ht,True,AbyssinicaSIL-Regular,True,common ethiopic greek inherited latin unknown,0,"[('en', 'Regular')]",False,False,80.0,100.0,,,,
27,otlayout:DFLT otlayout:cari otlayout:cprt otlayout:grek otlayout:latn otlayout:lina otlayout:linb otlayout:lyci otlayout:lydi otlayout:phnx,False,False,"[('en', 'Aegean')]",FREE/Aegean_hint.ttf,TrueType,600965,Free,"[('en', 'Aegean')]",0,el sw sm rw kj ng io uz st sn ho ia kwm nr to zu om ss ms za rn xh so ts fj,True,Aegean,True,carian common coptic cypriot greek inherited latin linear_a linear_b lycian lydian old_italic old_persian phoenician ugaritic unknown,0,"[('en', 'Regular')]",False,False,80.0,100.0,,,,
28,,False,False,"[('en', 'Aegyptus')]",FREE/AegyptusR_hint.ttf,TrueType,404357,Free,"[('en', 'Aegyptus')]",0,sw rw kj ng io uz st sn ho ia kwm nr zu om ss ms za rn xh so ts fj,True,Aegyptus,True,common egyptian_hieroglyphs inherited latin unknown,0,"[('en', 'Regular')]",False,False,80.0,100.0,,,,
29,,False,False,"[('en', 'Aegyptus')]",FREE/AegyptusB_hint.ttf,TrueType,404357,Free,"[('en', 'Aegyptus Bold')]",0,sw rw kj ng io uz st sn ho ia kwm nr zu om ss ms za rn xh so ts fj,True,AegyptusBold,True,common egyptian_hieroglyphs inherited latin unknown,0,"[('en', 'Bold')]",False,False,200.0,100.0,,,,
